CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
"07-01-0059-46,07-019,SOLOLA,SOLOLA,""LICEO TECNOLOGICO BILINGUE """"CUAUHTEMALLAN DE SOLOLA"""""",7 CALLE 3-25 ZONA 1,35923669,ESTELA BEN AJCALÓN DE TUY,MOISES GUARCAX CHIROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ"
"07-01-0060-46,07-019,SOLOLA,SOLOLA,""LICEO TECNOLOGICO BILINGUE """"CUAUTHEMALLAN DE SOLOLA"""""",""7 CALLE 3-25 ZONA 1, BARRIO SAN ANTONIO"",77621955,ESTELA BEN AJCALÓN DE TUY,ROLANDO COY YAQUI,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ"
"07-01-0061-46,07-019,SOLOLA,SOLOLA,""LICEO TECNOLOGICO BILINGUE """"CUAUHTEMALLAN DE SOLOLA"""""",""7 CALLE 3-25 ZONA 1, BARRIO SAN ANTONIO"",35923669,ESTELA BEN AJCALÓN DE TUY,MOISES GUARCAX CHIROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ"
07-01-0096-46,07-019,SOLOLA,SOLOLA,COLEGIO MONTE SION,6A. AVENIDA 8-07 ZONA 2 BARRIO EL CALVARIO,77623832,ESTELA BEN AJCALÓN DE TUY,JOSÉ DAVID TZAY PUÁC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0100-46,07-004,SOLOLA,SOLOLA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA ARGUETA,47394202,VÍCTOR MIGUEL MENCHÚ MENCHÚ,-,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0105-46,07-005,SOLOLA,SOLOLA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,5AV. Y 13 CALLE ESQUINA ZONA 1,,JUSTO SANTIAGO PONCIO PÚ,---,DIVERSIFICADO,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),SOLOLÁ
07-01-0106-46,07-019,SOLOLA,SOLOLA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,5TA. CALLE 0-37 BARRIO SAN ANTONIO,47583510,ESTELA BEN AJCALÓN DE TUY,PAULINA ESTER GONZÁLEZ PETZEY,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
"07-01-0121-46,07-004,SOLOLA,SOLOLA,CENTRO EDUCATIVO DE FORMACION PROFESIONAL CEFPRO,""CASERÍO COXOM, ALDEA SAN JUAN ARGUETA"",59356919,VÍCTOR MIGUEL MENCHÚ MENCHÚ,ELÍAS MIGUEL ROSALES TAHAY,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLÁ"
"07-01-0124-46,07-019,SOLOLA,SOLOLA,""LICEO TECNOLOGICO BILINGUE """"CUAUHTEMALLAN DE SOLOLÁ"""""",7A. CALLE 3-25 ZONA 1 BARRIO SAN ANTONIO,35923669,ESTELA BEN AJCALÓN DE TUY,MOISES GUARCAX CHIROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLÁ"
"07-01-0144-46,07-019,SOLOLA,SOLOLA,""COLEGIO CIENTIFICO """"MONTESSORI"""""",""9A. CALLE 8-81 ZONA 2, BARRIO EL CALVARIO"",77623427,ESTELA BEN AJCALÓN DE TUY,YOVANY ISRAEL ROSALES CORZO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ"
07-01-0152-46,07-003,SOLOLA,SOLOLA,LICEO PROFESIONAL LAS AMERICAS,CASERIO CENTRAL CANTON EL TABLON,77624703,VÍCTOR CHUMIL CHIROY,CAMILIO YAXÓN COSIGUÁ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLÁ
"07-01-0158-46,07-002,SOLOLA,SOLOLA,INSTITUTO MIXTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA,""CASERÍO CENTRAL, ALDEA PIXABAJ"",45684531,CARLOS RIGOBERTO POS TUY,DAVID FERNANDO PAZ LPEZ,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ"
"07-01-0162-46,07-004,SOLOLA,SOLOLA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA CHAQUIJYÁ,""CASERÍO COOPERATIVA, ALDEA CHAQUIJYÁ"",44554930,VÍCTOR MIGUEL MENCHÚ MENCHÚ,VÍCTOR SALOJ YAXÓN,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ"
"07-01-0164-46,07-019,SOLOLA,SOLOLA,INSTITUTO TECNOLÓGICO DE LA UNIVERSIDAD DEL VALLE DE GUATEMALA ALTIPLANO,""KM. 137, CASERÍO XOLBÉ ALDEA EL TABLÓN"",79310814,ESTELA BEN AJCALÓN DE TUY,MISAEL ANTONIO ESQUINA QUINOM,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ"
"07-01-0165-46,07-019,SOLOLA,SOLOLA,ESCUELA EN CIENCIAS DE LA COMPUTACIÓN,""3RA. CALLE 1-30 ZONA 1, BARRIO SAN ANTONIO"",77625180,ESTELA BEN AJCALÓN DE TUY,LUIS LEONARDO ARGUETA MOGOLLON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLÁ"
"07-01-0166-46,07-019,SOLOLA,SOLOLA,ESCUELA EN CIENCIAS DE LA COMPUTACIÓN,""3RA. CALLE 1-30 ZONA 1, BARRIO SAN ANTONIO"",77625180,ESTELA BEN AJCALÓN DE TUY,LUIS LEONARDO ARGUETA MOGOLLON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ"
"07-01-0171-46,07-003,SOLOLA,SOLOLA,""COLEGIO DE EDUCACIÓN BÁSICA IMPACTO, EMPODERANDO MUJERES"",""KM. 137, CASERÍO XOLBE, ALDEA EL TABLÓN"",32815153,VÍCTOR CHUMIL CHIROY,VILMA VERÓNICA SALOJ CHIYAL,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ"
07-01-0174-46,07-024,SOLOLA,SOLOLA,PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA -PRONEA-,13AV. 3-18 BARRIO EL CARMEN,77289930,FREDY EDGAR LEONEL URIZAR RODRIGUEZ,FREDY EDGAR URÍZAR RODRÍGUEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,SOLOLÁ
"07-01-0175-46,07-024,SOLOLA,SOLOLA,""""""CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-DEPARTAMENTAL"""""",13 CALLE 3-18 ZONA 1,42168347,FREDY EDGAR LEONEL URIZAR RODRIGUEZ,FREDY EDGAR URÍZAR RODRÍGUEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,SOLOLÁ"
"07-01-0181-46,07-003,SOLOLA,SOLOLA,""LICEO PROFESIONAL """"LAS AMERICAS"""""",""CASERÍO CENTRAL, CANTÓN EL TABLÓN"",77623985,VÍCTOR CHUMIL CHIROY,CAMILIO YAXÓN COSIGUÁ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),SOLOLÁ"
"07-01-0184-46,07-004,SOLOLA,SOLOLA,CENTRO EDUCATIVO DE FORMACIÓN PROFESIONAL CEFPRO,""CASERÍO COXOM, ALDEA SAN JUAN ARGUETA"",33007964,VÍCTOR MIGUEL MENCHÚ MENCHÚ,ELÍAS MIGUEL ROSALES TAHAY,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),SOLOLÁ"
07-01-0195-46,07-019,SOLOLA,SOLOLA,CENTRO EDUCATIVO INTERCULTURAL PARA EL DESARROLLO COMUNITARIO CEIDECO,5AV. 2-28 ZONA 1 BARRIO SAN ANTONIO,55629690,ESTELA BEN AJCALÓN DE TUY,VILMA JEANNETTE PAR GIRÓN ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),SOLOLÁ
"07-01-0198-46,07-019,SOLOLA,SOLOLA,""INSTITUTO PRIVADO URBANO MIXTO """"SOLOLÁ"""""",6TA. AVENIDA 6-37 BARRIO EL CALVARIO ZONA 2,77623103,ESTELA BEN AJCALÓN DE TUY,CARLOS VENANCIO MELETZ TOC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),SOLOLÁ"
"07-01-0200-46,07-019,SOLOLA,SOLOLA,CENTRO EDUCATIVO DE FORMACIÓN TÉCNICA -CEFTEC-,""6 AVENIDA 13-60 ZONA 1, BARRIO EL CARMEN"",58255240,ESTELA BEN AJCALÓN DE TUY,ISRAEL CHOCOJ YAC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),SOLOLÁ"
07-01-0499-46,07-019,SOLOLA,SOLOLA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,13 CALLE Y 5A AVE. ESQUINA ZONA 1,77624233,ESTELA BEN AJCALÓN DE TUY,RAMIRO PANJOJ BULUX,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0500-46,07-019,SOLOLA,SOLOLA,ESCUELA NORMAL PRIVADA,13 CALLE FINAL ZONA 1 COLONIA MIRALINDA,77624433,ESTELA BEN AJCALÓN DE TUY,JORGE MARIO ZELADA SÁNCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
"07-01-0577-46,07-019,SOLOLA,SOLOLA,COLEGIO INTEGRAL SOLOLATECO,""6TA. AVENIDA 6-37 ZONA 2, BARRIO EL CALVARIO"",77623709,ESTELA BEN AJCALÓN DE TUY,ELSA JEANETT SÁNCHEZ SOTO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ"
"07-01-0691-46,07-019,SOLOLA,SOLOLA,""COLEGIO PRIVADO URBANO PARA VARONES """"ATITLÁN"""""",13 CALLE 03-19 ZONA 1 BARRIO EL CARMEN,77623319,ESTELA BEN AJCALÓN DE TUY,FRANCISCO ROLANDO ALVARADO RECINOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ"
"07-01-0693-46,07-004,SOLOLA,SOLOLA,""INSTITUTO DE CIENCIAS COMERCIALES POR COOPERATIVA RURAL MIXTO """"SAN JUAN BAUTISTA"""""",ALDEA SAN JUAN ARGUETA,40579014,VÍCTOR MIGUEL MENCHÚ MENCHÚ,WILMER GABRIEL MENCHÚ AJPACAJÁ,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ"
"07-01-2483-46,07-019,SOLOLA,SOLOLA,ESCUELA EN CIENCIAS DE LA COMPUTACION,""3A. CALLE 1-30 ZONA 1, BARRIO SAN ANTONIO"",58343319,ESTELA BEN AJCALÓN DE TUY,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ"
07-01-2568-46,07-019,SOLOLA,SOLOLA,COLEGIO MONTE SION,6A. AVENIDA 8-07 ZONA 2 BARRIO EL CALVARIO,77623832,ESTELA BEN AJCALÓN DE TUY,JOSÉ DAVID TZAY PUÁC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-2687-46,25-000,SOLOLA,SOLOLA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,SONIA HAYDEE REYES MONTERROSO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SOLOLÁ
"07-01-2702-46,07-003,SOLOLA,SOLOLA,CENTRO EDUCATIVO COMUNITARIO MAYA TIJOB ÄL TZ OLOJYA,""CASERIO CENTRAL, ALDEA EL TABLÓN"",77624283,VÍCTOR CHUMIL CHIROY,SANTIAGO PANJOJ TUY,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ"
07-01-2737-46,07-019,SOLOLA,SOLOLA,ESCUELA DE FORMACION AGRICOLA,CASERIO MOLINO BELÉN,33048676,ESTELA BEN AJCALÓN DE TUY,,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ
"07-01-2767-46,07-019,SOLOLA,SOLOLA,ESCUELA NORMAL DE EDUCACION FISICA,""5TA. AVENIDA 2-28 ZONA 1, BARRIO SAN ANTONIO"",77625207,ESTELA BEN AJCALÓN DE TUY,JUANA NICOLASA TZORÍN ORDÓÑEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ"
"07-01-2768-46,07-019,SOLOLA,SOLOLA,INSTITUTO TECNOLOGICO DE LA UNIVERSIDAD DEL VALLE DE GUATEMALA ALTIPLANO,""KM. 137, CASERÍO XOLBÉ ALDEA EL TABLÓN"",79310814,ESTELA BEN AJCALÓN DE TUY,MISAEL ANTONIO ESQUINA QUINOM,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ"
07-01-2795-46,,SOLOLA,SOLOLA,INSTITUTO EDUCATIVO TULAN,CASERIO SANTA MARIA ALDEA EL TABLON,,,,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DOMINICAL,SOLOLÁ
"07-01-2807-46,07-019,SOLOLA,SOLOLA,""LICEO MIXTO PRIVADO """"SOLOLA"""""",13 CALLE ENTRE 4 Y 5 CALLE ZONA 1 BARRIO EL CARMEN,55752442,ESTELA BEN AJCALÓN DE TUY,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ"
07-01-2837-46,07-019,SOLOLA,SOLOLA,ESCUELA PRIVADA DE CIENCIAS COMERCIALES,7A. AV. Y 11 CALLE ZONA 1,77623034,ESTELA BEN AJCALÓN DE TUY,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SOLOLÁ
"07-02-0006-46,07-005,SOLOLA,SAN JOSE CHACAYA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,""ZONA 0, SECTOR CENTRO"",50905091,JUSTO SANTIAGO PONCIO PÚ,ZOILA ELIZABETH CUÁ AJÚ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ"
07-03-0002-46,07-014,SOLOLA,SANTA MARIA VISITACION,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,SECTOR SUR,41787615,MAGDALENA SOSA TZOC DE TUJ,GLADIS NOHEMÍ MORENO GÓMEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-03-0008-46,07-014,SOLOLA,SANTA MARIA VISITACION,INSTITUTO TÉCNICO CIENTÍFICO INTERCULTURAL -ITECI-,SANTA MARÍA VISITACIÓN,58542494,MAGDALENA SOSA TZOC DE TUJ,MARLENY SARAÍ PUAC DIONISIO DE CHÁVEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-03-0558-46,07-014,SOLOLA,SANTA MARIA VISITACION,INSTITUTO PRIVADO LA SALLE,.,79271884,MAGDALENA SOSA TZOC DE TUJ,-,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ
07-03-2928-46,07-014,SOLOLA,SANTA MARIA VISITACION,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL POR MADUREZ CECIM,EDIFICIO DEL INSTITUTO LA SALLE ENTRADA PRINCIPAL,57274128,MAGDALENA SOSA TZOC DE TUJ,VÍCTOR QUICHÉ AJCHÉ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLÁ
"07-04-0008-46,07-006,SOLOLA,SANTA LUCIA UTATLAN,COLEGIO PRIVADO DR. JORGE ROMERO IMERY,""BARRIO """"EL ROSARIO"""""",77221518,ARCADIA PATRICIA SAQUIC YÁC DE YAC,MARCOS JOSUÉ AQUINO NORIEGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ"
